book_id,original_title,isbn13,authors,original_publication_year
66,Gone with the Wind,9780446675540.0,Margaret Mitchell,1936.0
67,A Thousand Splendid Suns,9781594489500.0,Khaled Hosseini,2007.0
68,The Perks of Being a Wallflower,9780671027350.0,Stephen Chbosky,1999.0
69,Insurgent,9780007442910.0,Veronica Roth,2012.0
70,Ender's Game,9780812550700.0,Orson Scott Card,1985.0
71,"Frankenstein; or, The Modern Prometheus",9780141439470.0,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818.0
72,The Shining,9780450040180.0,Stephen King,1977.0
73,The Host,9780316068050.0,Stephenie Meyer,2008.0
74,Looking for Alaska,9780142402510.0,John Green,2005.0
75,,9780140280100.0,Helen Fielding,1996.0
76,Sense and Sensibility,9780141439660.0,"Jane Austen, Tony Tanner, Ros Ballaster",1811.0
77,Holes,9780439244190.0,"Louis Sachar, Louis Sachar",1998.0
78,The Devil Wears Prada,9780307275550.0,Lauren Weisberger,2003.0
79,Ὀδύσσεια,9780143039950.0,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720.0
80,Le Petit Prince,9780156012200.0,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946.0
81,The Glass Castle,9780743247540.0,Jeannette Walls,2005.0
82,Into the Wild,9780385486800.0,Jon Krakauer,1996.0
83,A Tale of Two Cities,9780141439600.0,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0
84,Jurassic Park,9780307348140.0,Michael Crichton,1990.0
85,The Giving Tree,9780060256650.0,Shel Silverstein,1964.0
86,A Time to Kill,9780385338610.0,John Grisham,1989.0
87,Un di Velt Hot Geshvign,9780374500020.0,"Elie Wiesel, Marion Wiesel",1958.0
88,Paper Towns,9780142414930.0,John Green,2008.0
89,The Princess Bride,9780345418260.0,William Goldman,1973.0
90,The Outsiders,9780140385720.0,S.E. Hinton,1967.0
91,The Maze Runner,9780385737940.0,James Dashner,2009.0
92,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,9780061234000.0,"Steven D. Levitt, Stephen J. Dubner",2005.0
93,The Secret Garden,9780517189600.0,Frances Hodgson Burnett,1911.0
94,Cien años de soledad,9780060531040.0,"Gabriel García Márquez, Gregory Rabassa",1967.0
95,The Picture of Dorian Gray,9780375751520.0,"Oscar Wilde, Jeffrey Eugenides",1891.0
96,Fifty Shades Freed,9780345803500.0,E.L. James,2012.0
97,Dracula,9780393970130.0,"Bram Stoker, Nina Auerbach, David J. Skal",1897.0
98,Flickan som lekte med elden,9780307269980.0,"Stieg Larsson, Reg Keeland",2006.0
99,Fifty Shades Darker,9781612130580.0,E.L. James,2011.0
100,The Poisonwood Bible,9780060786500.0,Barbara Kingsolver,1998.0
101,Me Talk Pretty One Day,9780349113910.0,David Sedaris,2000.0
102,Where the Wild Things Are,9780099408390.0,Maurice Sendak,1963.0
103,Le Comte de Monte-Cristo,9780140449270.0,"Alexandre Dumas, Robin Buss",1844.0
104,The Road,9780307265430.0,Cormac McCarthy,2006.0
105,Allegiant,9780007524270.0,Veronica Roth,2013.0
106,Bossypants,,Tina Fey,2011.0
107,A Walk to Remember,9780446693810.0,Nicholas Sparks,1999.0
108,Confessions of a Shopaholic,9780440241420.0,Sophie Kinsella,2000.0
109,Les Misérables,9780451525260.0,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862.0
110,A Clash of Kings,9780553381700.0,George R.R. Martin,1998.0
111,The Memory Keeper's Daughter,9780143037150.0,Kim Edwards,2005.0
112,Me Before You,9780670026610.0,Jojo Moyes,2012.0
113,Catch-22,9780684833390.0,Joseph Heller,1961.0
114,Tuesdays with Morrie,9780751529810.0,"Mitch Albom, Saulius Dagys",1997.0
115,Middlesex,9780312422160.0,Jeffrey Eugenides,2002.0
116,The Adventures of Tom Sawyer,9780143039560.0,"Mark Twain, Guy Cardwell, John Seelye",1876.0
117,A Wrinkle in Time,9780440498060.0,Madeleine L'Engle,1962.0
118,The Joy Luck Club,9780143038090.0,Amy Tan,1989.0
119,The Handmaid's Tale,9780385490820.0,Margaret Atwood,1985.0
120,The Sisterhood of the Traveling Pants,9780385729340.0,Ann Brashares,2001.0
121,Lolita,,"Vladimir Nabokov, Craig Raine",1955.0
122,Wicked: The Life and Times of the Wicked Witch of the West,9780060987110.0,"Gregory Maguire, Douglas Smith",1995.0
123,The Firm,9780582418270.0,John Grisham,1991.0
124,Room,9780316098340.0,Emma Donoghue,2010.0
125,"The Tragicall Historie of Hamlet, Prince of Denmark",9780521618750.0,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0
126,Dune,9780340839940.0,Frank Herbert,1965.0
127,The Tipping Point: How Little Things Can Make a Big Difference,9780316346630.0,Malcolm Gladwell,2000.0
128,Steve Jobs,9781451648540.0,Walter Isaacson,2011.0
129,One Flew Over the Cuckoo's Nest,9780451163970.0,Ken Kesey,1962.0
130,The Old Man and the Sea,9780684830490.0,Ernest Hemingway,1952.0
131,The Grapes of Wrath,9780142000660.0,John Steinbeck,1939.0
132,The Five People You Meet in Heaven,9781401308580.0,Mitch Albom,2003.0
133,Anne of Green Gables,9780451528830.0,L.M. Montgomery,1908.0
134,City of Glass,9781416914300.0,Cassandra Clare,2009.0
135,A Storm of Swords,9780553573430.0,George R.R. Martin,2000.0
136,Divine Secrets of the Ya-Ya Sisterhood,9780060759960.0,Rebecca Wells,1996.0
137,Outlander,9780440242950.0,Diana Gabaldon,1991.0
138,The Scarlet Letter,9780142437260.0,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850.0
139,Miss Peregrine’s Home for Peculiar Children,9781594744760.0,Ransom Riggs,2011.0
140,Luftslottet som sprängdes,9780307270000.0,"Stieg Larsson, Reg Keeland",2007.0
141,The Martian,9780804139020.0,Andy Weir,2012.0
142,The Pillars of the Earth,9780451207140.0,Ken Follett,1989.0
143,,9781476746590.0,Anthony Doerr,2014.0
144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",9781400064170.0,Laura Hillenbrand,2010.0
145,Deception Point,9780671027380.0,Dan Brown,2001.0
146,The Goldfinch,9780316055440.0,Donna Tartt,2013.0
147,Thirteen Reasons Why,9781595141710.0,Jay Asher,2007.0
148,Girl with a Pearl Earring,9780452287020.0,Tracy Chevalier,1999.0
149,If I Stay,9780525421030.0,Gayle Forman,2009.0
150,The Red Tent,9780312353770.0,Anita Diamant,1997.0
151,The Sea of Monsters,9780786856860.0,Rick Riordan,2006.0
152,Dear John,9780446528050.0,Nicholas Sparks,2006.0
153,City of Ashes,9781416914300.0,Cassandra Clare,2008.0
154,The Tragedy of Macbeth,9780743477110.0,William Shakespeare,1606.0
155,The Two Towers,9780618346260.0,J.R.R. Tolkien,1954.0
156,Something Borrowed,9780312321180.0,Emily Giffin,2004.0
157,Green Eggs and Ham,9780394800160.0,"Dr. Seuss, לאה נאור",1960.0
158,Charlie and the Chocolate Factory,9780142403880.0,"Roald Dahl, Quentin Blake",1964.0
159,The Battle of the Labyrinth,9781423101470.0,Rick Riordan,2008.0
160,Great Expectations,9780192833590.0,Charles Dickens,1860.0
161,The Return of the King,9780345339740.0,J.R.R. Tolkien,1955.0
162,L’Étranger,,"Albert Camus, Matthew    Ward",1942.0
163,The Lost Hero,9781423113390.0,Rick Riordan,2010.0
164,Eleanor & Park,9781250012580.0,Rainbow Rowell,2013.0
165,A Feast for Crows,9780553582020.0,George R.R. Martin,2005.0
166,Matched,9780525423640.0,Ally Condie,2010.0
167,American Gods,9780747263750.0,Neil Gaiman,2001.0
168,The Stand,9780385199580.0,"Stephen King, Bernie Wrightson",1978.0
169,The Last Song,9780446547570.0,Nicholas Sparks,2008.0
170,Digital Fortress,9780552151700.0,Dan Brown,1998.0
171,Emma,9780141439590.0,"Jane Austen, Fiona Stafford",1815.0
172,Анна Каренина,9780345803920.0,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877.0
173,A Clockwork Orange,9780393312840.0,Anthony Burgess,1962.0
174,The Shack: Where Tragedy Confronts Eternity,9780964729230.0,William Paul Young,2007.0
175,The Last Olympian,9780739380340.0,Rick Riordan,2009.0
176,It,9780451169520.0,Stephen King,1986.0
177,Преступление и наказание,9780143058140.0,"Fyodor Dostoyevsky, David McDuff",1866.0
178,The Bell Jar,9780061148510.0,Sylvia Plath,1963.0
179,Angela's Ashes: A Memoir,9780007205230.0,Frank McCourt,1996.0
180,Siddhartha,9780553208850.0,"Hermann Hesse, Hilda Rosner",1922.0
181,In Cold Blood,9780679745590.0,Truman Capote,1965.0
182,Beautiful Creatures,9780316042670.0,"Kami Garcia, Margaret Stohl",2009.0
183,Clockwork Angel,9781416975860.0,Cassandra Clare,2010.0
184,Matilda,9780141301070.0,"Roald Dahl, Quentin Blake",1988.0
185,The Night Circus,9780385534640.0,Erin Morgenstern,2011.0
186,The Other Boleyn Girl,9780743227440.0,Philippa Gregory,2001.0
187,Uglies,9780689865380.0,Scott Westerfeld,2005.0
188,A Dance with Dragons,,George R.R. Martin,2011.0
189,The Lord of the Rings,9780618640160.0,J.R.R. Tolkien,1955.0
190,Wild: From Lost to Found on the Pacific Crest Trail ,9780307592740.0,Cheryl Strayed,2012.0
191,Watchmen,9780930289230.0,"Alan Moore, Dave Gibbons, John Higgins",1987.0
192,The Name of the Wind,9780756404080.0,Patrick Rothfuss,2007.0
193,Outliers: The Story of Success,9780316017920.0,Malcolm Gladwell,2008.0
194,"Moby Dick; or, The Whale",9780142437250.0,"Herman Melville, Andrew Delbanco, Tom Quirk",1851.0
195,The Guernsey Literary and Potato Peel Pie Society,9780385340990.0,"Mary Ann Shaffer, Annie Barrows",2008.0
196,Fight Club,9780393327340.0,Chuck Palahniuk,1996.0
197,Dead Until Dark,9780441008540.0,Charlaine Harris,2001.0
198,The Color Purple,9780671727800.0,Alice Walker,1982.0
199,Marley & Me: Life and Love with the World's Worst Dog,9780739461200.0,John Grogan,2005.0
200,Ten Little Niggers,9780312330870.0,Agatha Christie,1939.0
201,The Lost Symbol,9780385504220.0,Dan Brown,2009.0
202,"Hush, Hush",9781416989420.0,Becca Fitzpatrick,2009.0
203,Beautiful Disaster,,Jamie McGuire,2011.0
204,A Christmas Carol,9781561797460.0,Charles Dickens,1843.0
205,Interview with the Vampire,9780345476880.0,Anne Rice,1976.0
206,The Selection,9780062059930.0,Kiera Cass,2012.0
207,One for the Money,9780312362090.0,Janet Evanovich,1994.0
208,The Immortal Life of Henrietta Lacks,9781400052170.0,Rebecca Skloot,2010.0
209,The Silence of the Lambs,9780099446780.0,Thomas Harris,1988.0
210,,9781595141740.0,Richelle Mead,2007.0
211,Blink: The Power of Thinking Without Thinking,9780316010660.0,Malcolm Gladwell,2005.0
212,Atonement,9780385721790.0,Ian McEwan,2001.0
213,Die Verwandlung,9780553213690.0,"Franz Kafka, Stanley Corngold",1915.0
214,The Titan's Curse,9780141382890.0,Rick Riordan,2007.0
215,,9780307887440.0,Ernest Cline,2011.0
216,The Art of Racing in the Rain,9781554681720.0,Garth Stein,2006.0
217,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America",9780739303400.0,"Erik Larson, Tony Goldwyn",2003.0
218,Bared to You,9780425263910.0,Sylvia Day,2012.0
219,The Chronicles of Narnia,9780066238500.0,"C.S. Lewis, Pauline Baynes",1956.0
220,Twilight: The Complete Illustrated Movie Companion,9780316043140.0,Mark Cotta Vaz,
221,"A Child Called ""It"": One Child's Courage to Survive",9781558743660.0,Dave Pelzer,1995.0
222,The Bourne Identity,9780752864330.0,Robert Ludlum,1980.0
223,Artemis Fowl,9780786817870.0,Eoin Colfer,2001.0
224,Fallen,9780385738930.0,Lauren Kate,2009.0
225,East of Eden  ,9780142000660.0,John Steinbeck,1952.0
226,Dark Places,9780307341560.0,Gillian Flynn,2009.0
227,The Client,9780385339090.0,John Grisham,1993.0
228,The Nanny Diaries,9780312291630.0,"Emma McLaughlin, Nicola Kraus",2002.0
229,Alice's Adventures in Wonderland,9780451527740.0,"Lewis Carroll, John Tenniel, Martin Gardner",1865.0
230,Persuasion,9780192802640.0,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817.0
231,Elle s'appelait Sarah,9780312370830.0,Tatiana de Rosnay,2007.0
232,The Gunslinger,9780452284690.0,Stephen King,1982.0
233,El amor en los tiempos del cólera,9781400034680.0,"Gabriel García Márquez, Edith Grossman",1985.0
234,Speak,9780141310890.0,Laurie Halse Anderson,1999.0
235,The Husband's Secret ,9780399159340.0,Liane Moriarty,2013.0
236,Into Thin Air: A Personal Account of the Mt. Everest Disaster,9780385494790.0,Jon Krakauer,1997.0
237,Carrie,9781416524300.0,Stephen King,1974.0
238,Running with Scissors,9780312422270.0,Augusten Burroughs,2002.0
239,World War Z: An Oral History of the Zombie War,9780307346600.0,Max Brooks,2006.0
240,Inferno,9780385537860.0,Dan Brown,2013.0
241,Number the Stars,9780440227530.0,Lois Lowry,1989.0
242,Along Came a Spider,9780446692630.0,James Patterson,1993.0
243,Misery,9780450417400.0,Stephen King,1987.0
244,Sharp Objects,9780307341550.0,Gillian Flynn,2006.0
245,Bridge to Terabithia,9780439366780.0,Katherine Paterson,1977.0
246,Marked,9780312360270.0,"P.C. Cast, Kristin Cast",2007.0
247,The 7 Habits of Highly Effective People,9780743269510.0,Stephen R. Covey,1989.0
248,A Midsummer Night's Dream,9780743477540.0,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595.0
249,Extremely Loud and Incredibly Close,9780618711660.0,Jonathan Safran Foer,2005.0
250,Wonder,9780375869020.0,R.J. Palacio,2012.0
251,The Cat in the Hat,9780394800010.0,Dr. Seuss,1957.0
252,Cinder,9780312641890.0,Marissa Meyer,2012.0
253,The Cuckoo's Calling,9780316206850.0,"Robert Galbraith, J.K. Rowling",2013.0
254,Shiver,9780545123270.0,Maggie Stiefvater,2009.0
255,Atlas Shrugged,9780452011880.0,"Ayn Rand, Leonard Peikoff",1957.0
256,Three Cups of Tea ,9780143038250.0,"Greg Mortenson, David Oliver Relin",2006.0
257,,9780517223630.0,"Jane Carruth, Lewis Carroll, Rene Cloke",1865.0
258,La sombra del viento,9780143034900.0,"Carlos Ruiz Zafón, Lucia Graves",2001.0
259,The Scorch Trials,9780385738750.0,James Dashner,2010.0
260,How to Win Friends and Influence People,9780671723650.0,Dale Carnegie,1936.0
261,Under the Tuscan Sun,9780767900390.0,Frances Mayes,1996.0
262,Big Little Lies,9780399167060.0,Liane Moriarty,2014.0
263,Ella Enchanted,9780590920680.0,Gail Carson Levine,1997.0
264,The Sun Also Rises,9780743297330.0,Ernest Hemingway,1926.0
265,A Tree Grows In Brooklyn ,9780061120080.0,Betty  Smith,1943.0
266,Kiss the Girls,9780446677390.0,James Patterson,1995.0
267,The Nightingale,9780312577220.0,Kristin Hannah,2015.0
268,Never Let Me Go,9781400078780.0,Kazuo Ishiguro,2005.0
269,"PS, I Love You",9780786890750.0,Cecelia Ahern,2003.0
270,Rebecca,9781844080380.0,"Daphne du Maurier, Sally Beauman",1938.0
271,Flowers for Algernon,9780156030300.0,Daniel Keyes,1966.0
272,Como agua para chocolate,9780552995870.0,"Laura Esquivel, Thomas  Christensen, Carol Christensen",1989.0
273,Snow Flower and the Secret Fan,9780812968060.0,Lisa See,2005.0
274,The Godfather,9780451205770.0,"Mario Puzo, Robert Thompson, Peter Bart",1969.0
275,An Abundance of Katherines,9780525476890.0,John Green,2006.0
276,Foundation,9780553803720.0,Isaac Asimov,1951.0
277,The Ocean at the End of the Lane,9780062255660.0,Neil Gaiman,2013.0
278,A Light in the Attic,9780060513060.0,Shel Silverstein,1981.0
279,"Harry Potter and the Cursed Child, Parts One and Two",9780751565360.0,"John Tiffany, Jack Thorne, J.K. Rowling",2016.0
280,Delirium,9780061726840.0,Lauren Oliver,2011.0
281,The Pelican Brief,9780385339700.0,John Grisham,1992.0
282,Coraline,9780061139380.0,Neil Gaiman,2002.0
283,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",9780060853980.0,"Terry Pratchett, Neil Gaiman",1990.0
284,On the Road,9780140042600.0,Jack Kerouac,1955.0
285,The Rosie Project,9781476729080.0,Graeme Simsion,2013.0
286,The Lucky One,9780446579930.0,Nicholas Sparks,2008.0
287,The Fountainhead,9780451191150.0,"Ayn Rand, Leonard Peikoff",1943.0
288,The Hunt for Red October,9780425172900.0,Tom Clancy,1984.0
289,Watership Down,9780380395870.0,Richard Adams,1972.0
290,Is Everyone Hanging Out Without Me? (And Other Concerns),9780307886260.0,Mindy Kaling,2011.0
291,Cutting for Stone,9780375414500.0,Abraham Verghese,2009.0
292,The Voyage of the Dawn Treader,9780061125270.0,"C.S. Lewis, Pauline Baynes",1951.0
293,Treasure Island,9780753453800.0,Robert Louis Stevenson,1882.0
294,The Son of Neptune ,9781423140600.0,Rick Riordan,2011.0
295,11/22/63,9781451627280.0,Stephen King,2011.0
296,The Very Hungry Caterpillar,9780241003010.0,Eric Carle,1969.0
297,Cat's Cradle,9780140285600.0,Kurt Vonnegut Jr.,1963.0
298,The Time Machine,9780451528550.0,"H.G. Wells, Greg Bear, Carlo Pagetti",1895.0
299,,9780849946160.0,"Todd Burpo, Lynn Vincent",2010.0
300,The Boy in the Striped Pyjamas,9780385751060.0,John Boyne,2006.0
301,Heart of Darkness,9781892295490.0,Joseph Conrad,1899.0
302,Safe Haven,9780446547600.0,Nicholas Sparks,2010.0
303,The Secret,9781582701710.0,Rhonda Byrne,2006.0
304,I Know This Much Is True ,9780060987560.0,Wally Lamb,1998.0
305,Pet Sematary,9781416524340.0,Stephen King,1983.0
306,She's Come Undone,9780671021010.0,Wally Lamb,1992.0
307,The Wise Man's Fear,9780756404730.0,Patrick Rothfuss,2011.0
308,Can You Keep a Secret?,9780440241900.0,Sophie Kinsella,2003.0
309,City of Fallen Angels,9781442403540.0,Cassandra Clare,2011.0
310,Good in Bed,9780743418170.0,Jennifer Weiner,2001.0
311,The Thorn Birds,9780380018180.0,Colleen McCullough,1977.0
312,The Graveyard Book,9780060530920.0,"Neil Gaiman, Dave McKean",2008.0
313,The Light Between Oceans,9781451681730.0,M.L. Stedman,2012.0
314,Tintenherz,9780439709100.0,"Cornelia Funke, Anthea Bell",2003.0
315,Who Moved My Cheese?,9780091883770.0,"Spencer Johnson, Kenneth H. Blanchard",1998.0
316,A Walk in the Woods,9780307279460.0,Bill Bryson,1997.0
317,I Know Why the Caged Bird Sings,9780553279380.0,Maya Angelou,1969.0
318,Orphan Train,9780061950730.0,Christina Baker Kline,2013.0
319,City of Lost Souls,9781442416860.0,Cassandra Clare,2012.0
320,"Where'd You Go, Bernadette",9780316204280.0,Maria Semple,2012.0
321,Where the Red Fern Grows,9780375806810.0,Wilson Rawls,1961.0
322,Neverwhere,9780060557810.0,Neil Gaiman,1996.0
323,Nesnesitelná lehkost bytí,9780571224390.0,"Milan Kundera, Michael Henry Heim",1984.0
324,,,Rainbow Rowell,2013.0
325,A Prayer for Owen Meany,9780552135400.0,John Irving,1989.0
326,White Oleander,9780316182550.0,Janet Fitch,1999.0
327,Legend,9780399256750.0,Marie Lu,2011.0
328,Nineteen Minutes,9780743496730.0,Jodi Picoult,2007.0
329,The Last Lecture,9781401323260.0,"Randy Pausch, Jeffrey Zaslow",2008.0
330,The Eye of the World,9780812511820.0,Robert Jordan,1990.0
331,The Pact,9780061150140.0,Jodi Picoult,1998.0
332,The magician's nephew,9780060764910.0,C.S. Lewis,1953.0
333,Still Alice,9780595440090.0,Lisa Genova,2007.0
334,Reflected in You,9780425263910.0,Sylvia Day,2012.0
335,James and the Giant Peach,9780375814240.0,"Roald Dahl, Quentin Blake",1961.0
336,1st To Die,9780446696620.0,James Patterson,2001.0
337,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,9780345453750.0,Douglas Adams,1996.0
338,One Day,9780340896970.0,David Nicholls,2009.0
339,,9780060775860.0,"Margaret Wise Brown, Clement Hurd",1947.0
340,I Am Number Four,9780061969550.0,Pittacus Lore,2010.0
341,Ἰλιάς,9780140275360.0,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",-750.0
342,The Casual Vacancy,9780316228530.0,J.K. Rowling,2012.0
343,The Runaway Jury,9780385339700.0,John Grisham,1996.0
344,Naked,9780316777740.0,David Sedaris,1997.0
345,Eldest,9780375840400.0,Christopher Paolini,2005.0
346,The Wonderful Wizard of Oz,9780140621680.0,"L. Frank Baum, W.W. Denslow",1900.0
347,Prince Caspian: The Return to Narnia,9780007202300.0,C.S. Lewis,1951.0
348,We Were Liars,,E. Lockhart,2014.0
349,Salem's Lot,9780450031070.0,Stephen King,1975.0
350,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,9780679785900.0,"Hunter S. Thompson, Ralph Steadman",1971.0
351,Clockwork Prince,9781416975880.0,Cassandra Clare,2011.0
352,Yes Please,9780062268340.0,Amy Poehler,2014.0
353,"The Tragedy of Othello, The Moor of Venice",9780743477550.0,William Shakespeare,1603.0
354,Beloved,9781400033420.0,Toni Morrison,1987.0
355,Graceling,9780152063960.0,Kristin Cashore,2008.0
356,The Bad Beginning,9780439206470.0,"Lemony Snicket, Brett Helquist",1999.0
357,Im Westen nichts Neues,9780449213940.0,"Erich Maria Remarque, A.W. Wheen",1929.0
358,"Oh, the Places You'll Go!",9780679805270.0,Dr. Seuss,1990.0
359,And The Mountains Echoed,9781594631760.0,Khaled Hosseini,2012.0
360,Do Androids Dream of Electric Sheep?,9780345404470.0,"Philip K. Dick, Roger Zelazny",1968.0
361,Oliver Twist,9780141439750.0,"Charles Dickens, George Cruikshank, Philip Horne",1838.0
362,A Grief Observed,9780060652890.0,C.S. Lewis,1942.0
363,Anna and the French Kiss,9780525423270.0,Stephanie Perkins,2010.0
364,How the Grinch Stole Christmas!,9780007173040.0,Dr. Seuss,1957.0
365,V for Vendetta,9781401207920.0,"Alan Moore, David   Lloyd",1990.0
366,John Adams,9780743223130.0,David McCullough,2001.0
367,Odd Thomas,9780553384280.0,Dean Koontz,2003.0
368,The Subtle Knife,9780679879250.0,Philip Pullman,1997.0
369,Stargirl,9780439488400.0,Jerry Spinelli,2000.0
370,The Red Pyramid,9781423113390.0,Rick Riordan,2010.0
371,Stranger in a Strange Land,9780441788380.0,Robert A. Heinlein,1961.0
372,Dress Your Family in Corduroy and Denim,9780965904830.0,David Sedaris,2004.0
373,The BFG,9780141311370.0,"Roald Dahl, Quentin Blake",1982.0
374,A Short History of Nearly Everything,9780767908180.0,Bill Bryson,2003.0
375,The Call of the Wild,9780439227150.0,Jack London,1903.0
376,The Death Cure,9780385738770.0,James Dashner,2011.0
